accessFrom[JDUT1],accessDuration[s],gpi,Observation Range [km],Look angle [deg],Incidence angle [deg],Solar Zenith [deg],Coverage [T/F]
2457769.481262623,386.99790090322495,131,2793.7026561885223,64.16996407687212,87.38921647422781,nan,True
2457769.481239475,392.9978683590889,132,2785.2556312582674,64.16191818624357,87.30520679695559,nan,True
2457769.481227901,397.99784123897547,133,2776.7963469972397,64.15357236095817,87.2207802227327,nan,True
2457769.481204753,403.9978086948394,134,2768.3276881617758,64.14493982457844,87.13597862786695,nan,True
2457769.481193179,407.9977869987488,135,2759.8625878044722,64.13602373791389,87.05091984367655,nan,True
2457769.481170031,413.99775445461273,136,2751.392746878964,64.12681259380878,86.96551752542494,nan,True
2457769.4811584568,418.9977273344993,137,2742.9181997232254,64.11730319201818,86.87976858093096,nan,True
2457769.4811468828,423.997700214386,138,2734.4205248726357,64.10746351858224,86.79347360802646,nan,True
2457769.4811237347,429.99766767024994,139,2725.933115744137,64.09734287138816,86.70698501688513,nan,True
2457769.4811121607,433.99764597415924,140,2717.4411109164375,64.08691386421441,86.62014006707189,nan,True
2457769.4811005867,438.9976188540458,141,2708.94454591209,64.07617312640139,86.53293549568896,nan,True
2457769.4810890127,443.9975917339325,142,2700.434872993617,64.06509878222613,86.44527084717522,nan,True
2457769.4810774387,447.9975700378418,143,2691.91744484119,64.05370790780232,86.35721400385397,nan,True
2457769.4810658647,452.99754291772837,144,2683.403951444614,64.04200571559383,86.26887375080373,nan,True
2457769.4810427167,457.9975157976151,145,2674.886049220461,64.02997760742838,86.18016017006492,nan,True
2457769.4810311426,462.99748867750174,146,2666.3637752819554,64.01761998456907,86.09106977035472,nan,True
2457769.4810195686,466.9974669814109,147,2657.8287819770894,64.0049165660366,86.0015108697211,nan,True
2457769.4810079946,470.9974452853203,148,2649.2978764296045,63.991888600271615,85.9116558247561,nan,True
2457769.4809964206,475.9974181652069,149,2640.746077530348,63.97848643386161,85.821228348978,nan,True
2457769.4809848466,479.9973964691161,150,2632.203330511548,63.964767334056965,85.73055800072834,nan,True
2457769.4809732726,484.99736934900284,151,2623.6564089895946,63.95069973248824,85.63949243443663,nan,True
2457769.4809732726,487.99735307693476,152,2615.086555019756,63.936240407539835,85.54781776049282,nan,True
2457769.4809616986,491.9973313808441,153,2606.528122490046,63.921457542395665,85.4559142426433,nan,True
2457769.4809501246,495.9973096847534,154,2597.9656411329297,63.906314058461085,85.3636037657495,nan,True
2457769.4809385506,499.99728798866266,155,2589.399151273913,63.89080589606263,85.2708823770395,nan,True
2457769.4809269765,504.99726086854923,156,2580.8202628314975,63.874913150431276,85.17765427449281,nan,True
2457769.4809154025,508.9972391724586,157,2572.2458778129503,63.85866286932521,85.08409860429882,nan,True
