Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
6330.0,False,10010.75113583188
6331.0,False,10010.751839132276
6332.0,False,10010.752542709646
6333.0,False,10010.75324656323
6334.0,False,10010.753950692191
6335.0,False,10010.754655095778
6336.0,False,10010.75535977321
6337.0,False,10010.75606472363
6338.0,False,10010.756769946314
6339.0,False,10010.75747544044
6340.0,False,10010.758181205207
6341.0,False,10010.758887239843
6342.0,False,10010.759593543535
6343.0,False,10010.760300115488
6344.0,False,10010.761006954956
6345.0,False,10010.761714061064
6346.0,False,10010.762421433072
6347.0,False,10010.763129070196
6348.0,False,10010.76383697159
6349.0,False,10010.764545136499
6350.0,False,10010.76525356411
6351.0,False,10010.765962253621
6352.0,False,10010.766671204266
6353.0,False,10010.76738041522
6354.0,False,10010.76808988568
6355.0,False,10010.76879961489
6356.0,False,10010.76950960199
6357.0,False,10010.770219846238
6358.0,False,10010.77093034682
6359.0,False,10010.771641102916
6360.0,False,10010.772352113758
6361.0,False,10010.773063378529
6362.0,False,10010.773774896421
6363.0,False,10010.774486666656
6364.0,False,10010.775198688425
6365.0,False,10010.775910960916
6366.0,False,10010.776623483367
6367.0,False,10010.77733625491
6368.0,False,10010.778049274822
6369.0,False,10010.778762542248
6370.0,False,10010.77947605638
6371.0,False,10010.780189816469
6372.0,False,10010.780903821675
6373.0,False,10010.781618071189
6374.0,False,10010.782332564231
6375.0,False,10010.783047299987
6376.0,False,10010.783762277648
6377.0,False,10010.784477496445
6378.0,False,10010.78519295551
6379.0,False,10010.785908654101
6380.0,False,10010.78662459138
6381.0,False,10010.787340766543
6382.0,False,10010.788057178808
6383.0,False,10010.788773827355
6384.0,False,10010.789490711355
6385.0,False,10010.790207830061
6386.0,False,10010.790925182602
6387.0,False,10010.791642768216
6388.0,False,10010.792360586092
6389.0,False,10010.793078635388
6390.0,False,10010.793796915335
6391.0,False,10010.794515425117
6392.0,False,10010.79523416391
6393.0,False,10010.795953130935
6394.0,False,10010.796672325361
6395.0,False,10010.79739174638
6396.0,False,10010.798111393211
6397.0,False,10010.798831265001
6398.0,False,10010.799551360964
6399.0,False,10010.800271680322
6400.0,False,10010.80099222219
6401.0,False,10010.801712985834
6402.0,False,10010.8024339704
6403.0,False,10010.803155175097
6404.0,False,10010.803876599102
6405.0,False,10010.804598241615
6406.0,False,10010.805320101808
6407.0,False,10010.806042178905
6408.0,False,10010.806764472052
6409.0,False,10010.807486980457
6410.0,False,10010.808209703335
6411.0,False,10010.808932639804
6412.0,False,10010.809655789117
6413.0,False,10010.810379150436
6414.0,False,10010.811102722937
6415.0,False,10010.811826505842
6416.0,False,10010.812550498302
6417.0,False,10010.813274699509
6418.0,False,10010.813999108675
6419.0,False,10010.814723724961
6420.0,False,10010.815448547544
6421.0,False,10010.816173575653
6422.0,False,10010.816898808422
6423.0,False,10010.817624245074
6424.0,False,10010.818349884765
6425.0,False,10010.819075726688
6426.0,False,10010.81980177005
6427.0,False,10010.820528014012
6428.0,False,10010.821254457753
6429.0,False,10010.82198110048
6430.0,False,10010.822707941348
6431.0,False,10010.823434979564
6432.0,False,10010.824162214316
6433.0,False,10010.82488964474
6434.0,False,10010.825617270075
6435.0,False,10010.826345089481
6436.0,False,10010.82707310212
6437.0,False,10010.82780130721
6438.0,False,10010.828529703904
6439.0,False,10010.829258291393
6440.0,False,10010.829987068886
6441.0,False,10010.830716035489
6442.0,False,10010.831445190453
6443.0,False,10010.832174532963
6444.0,False,10010.832904062132
6445.0,False,10010.833633777214
6446.0,False,10010.834363677339
6447.0,False,10010.835093761683
6448.0,False,10010.83582402948
6449.0,False,10010.836554479862
6450.0,False,10010.837285112018
6451.0,False,10010.838015925146
6452.0,False,10010.838746918376
6453.0,False,10010.839478090942
6454.0,False,10010.840209442016
6455.0,False,10010.840940970722
6456.0,False,10010.841672676297
6457.0,False,10010.842404557898
