Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km],Elevation[deg]
7212.0,False,7805.787919601084,-31.14602544428362
7213.0,False,7810.870786099408,-31.176829672114916
7214.0,False,7815.952391346226,-31.207630918374235
7215.0,False,7821.032736047875,-31.238429207777102
7216.0,False,7826.1118151332885,-31.269224529983155
7217.0,False,7831.1896254642115,-31.30001688633072
7218.0,False,7836.26616390767,-31.330806278153823
7219.0,False,7841.34142733602,-31.3615927067826
7220.0,False,7846.415412626873,-31.392376173542832
7221.0,False,7851.488116663189,-31.423156679756662
7222.0,False,7856.5595344010035,-31.45393421501449
7223.0,False,7861.629666597506,-31.484708804079403
7224.0,False,7866.698508219778,-31.51548043653865
7225.0,False,7871.766056171697,-31.546249113697375
7226.0,False,7876.832307362335,-31.57701483685632
7227.0,False,7881.897258705984,-31.607777607312165
7228.0,False,7886.960907122089,-31.63853742635713
7229.0,False,7892.023247599517,-31.66929428351683
7230.0,False,7897.084280938977,-31.700048203594303
7231.0,False,7902.144002140093,-31.73079917611117
7232.0,False,7907.20240814283,-31.761547202341973
7233.0,False,7912.259495892281,-31.792292283556918
7234.0,False,7917.315262338571,-31.82303442102139
7235.0,False,7922.369704436902,-31.853773615996307
7236.0,False,7927.42281720834,-31.884509857941133
7237.0,False,7932.474601496091,-31.915243171696538
7238.0,False,7937.52505233171,-31.94597354671738
7239.0,False,7942.57416669054,-31.976700984246232
7240.0,False,7947.621941552872,-32.00742548552064
7241.0,False,7952.668373903983,-32.0381470517736
7242.0,False,7957.713460734067,-32.06886568423296
7243.0,False,7962.757199038322,-32.09958138412222
7244.0,False,7967.799583873858,-32.13029414082372
7245.0,False,7972.840616131206,-32.16100397921824
7246.0,False,7977.880290877743,-32.19171088868326
7247.0,False,7982.918605128277,-32.22241487042253
7248.0,False,7987.955555902499,-32.25311592563487
7249.0,False,7992.991140224921,-32.28381405551406
7250.0,False,7998.025355124926,-32.314509261248844
7251.0,False,8003.058195690511,-32.34520153215273
7252.0,False,8008.089662852655,-32.37589089314004
7253.0,False,8013.119751709409,-32.40657733351876
7254.0,False,8018.1484593093755,-32.437260854457435
7255.0,False,8023.17578270596,-32.467941457119466
7256.0,False,8028.201718957269,-32.49861914266268
7257.0,False,8033.226265126193,-32.52929391224007
7258.0,False,8038.249418280331,-32.559965766999206
7259.0,False,8043.271173542305,-32.59063469617362
7260.0,False,8048.291531888153,-32.62130072471329
7261.0,False,8053.310488450315,-32.65196384184601
7262.0,False,8058.328040315177,-32.68262404869803
7263.0,False,8063.344184573825,-32.713281346390566
7264.0,False,8068.358918321923,-32.74393573603899
7265.0,False,8073.372238659857,-32.77458721875374
